STATION CODE,LOCATIONS,STATE,D.O. (mg/l),PH,B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),WQI
2299,R RAMAPURAM AT RAMAPURAM BRIDGE,KERALA,4.0,7.0,0.9,0.03,98.0,65.42373739130434
1338,"PERIYAR AT SEWAGE DISCHARGE POINT, KERALA",KERALA,6.7,6.8,1.0,0.4,230.0,48.69872289855073
2296,R THALLASSERY AT PATHIPPALAM,KERALA,6.5,6.8,0.5,0.24,303.0,46.88306347826088
2687,"PATALGANGA RIVER AT KHALAPUR PUMPING STATION, KHALAPUR, RAIGAD.",MAHARASHTRA,6.0,7.3,8.5,0.4,32.0,122.6463515942029
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (A/C), PUNJAB",PUNJAB,6.3,7.7,7.3,3.28,28250.0,769.0216107246378
3189,RIVER CHAPORA AT SIOLIM,GOA,6.3,7.6,1.5,0.06,3803.0,149.27911739130437
1428,"KYRHUKHLA NEAR SUTNGA KHLIERIAT,JAINTIA HILLS DT.",MEGHALAYA,6.58,6.5,5.93,4.0,40.0,83.8741672463768
2286,R AYROOR AT AYROOR BRIDGE,KERALA,6.7,7.3,0.8,0.35,547.0,62.77839623188407
1341,PAMBA AT THAKAZHY,KERALA,4.4,7.1,1.5,1.17,358.0,72.30828956521738
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI,PUNJAB",PUNJAB,6.7,7.6,7.4,2.88,22250.0,623.3850495652175
2672,"KUNDALIKA RIVER AT DHATAV AT JACKWELL (DRINKING WATER  PUMPING STATIONNANSWEET ZONE), ROHA",MAHARASHTRA,7.3,7.7,3.2,1.0,50.0,76.85146115942031
1700,"D/S DHAKANSU NALLAH, PUNJAB",PUNJAB,4.8,7.4,19.0,4.6,9500.0,449.4129550724638
2293,R KADALUNDI AT HAJIRAPPALLY,KERALA,6.8,7.0,1.7,0.2,249.0,58.28648927536232
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,7.4,6.1,0.9,0.3,690.0,42.50046086956521
2704,"SAVITRI RIVER AT MUTHAVALI VILLAGE, MAHAD, RAIGADH",MAHARASHTRA,6.8,7.7,3.9,4.25,3.0,86.34248927536233
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,7.4,7.8,0.9,0.12,8.0,56.807720869565216
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,7.1,8.1,0.9,0.56,524.0,75.05082840579709
1704,"D/S SARDULGARH, PUNJAB",PUNJAB,4.0,7.4,26.0,3.0,31750.0,1002.9853373913044
